"studyn","studyc","trtn","trtc","r","n","E"
1,"DART",1,"Control",113,1015,1917
1,"DART",2,"Reduced Fat",111,1018,1925
2,"London Corn/Olive",1,"Control",1,26,43.6
2,"London Corn/Olive",2,"Reduced Fat",5,28,41.3
2,"London Corn/Olive",2,"Reduced Fat",3,26,38
3,"London Low Fat",1,"Control",24,129,393.5
3,"London Low Fat",2,"Reduced Fat",20,123,373.9
4,"Minnesota Coronary",1,"Control",248,4516,4715
4,"Minnesota Coronary",2,"Reduced Fat",269,4516,4823
5,"MRC Soya",1,"Control",31,194,715
5,"MRC Soya",2,"Reduced Fat",28,199,751
6,"Oslo Diet-Heart",1,"Control",65,206,885
6,"Oslo Diet-Heart",2,"Reduced Fat",48,206,895
7,"STARS",1,"Control",3,30,87.8
7,"STARS",2,"Reduced Fat",1,30,91
8,"Sydney Diet-Heart",1,"Control",28,237,1011
8,"Sydney Diet-Heart",2,"Reduced Fat",39,221,939
9,"Veterans Administration",1,"Control",177,422,1544
9,"Veterans Administration",2,"Reduced Fat",174,424,1588
10,"Veterans Diet & Skin CA",1,"Control",2,67,125
10,"Veterans Diet & Skin CA",2,"Reduced Fat",1,66,123
